10.7183,9.29785,7.83734,6.30081,4.39956,2.89664,2.29604,1.98119,1.79005,1.63403,1.3975,1.09232,0.847956,0.591803,0.39734,0.316926,0.296863,
9.69862,8.45408,6.82916,4.95205,3.1646,2.18497,1.63046,1.24867,0.985574,0.798324,0.672589,0.557684,0.385217,0.260118,0.175524,0.199007,0.211577,
8.37674,7.50987,6.20199,4.2671,2.65058,1.76855,1.22193,0.822125,0.547429,0.381966,0.346395,0.316341,0.247476,0.190818,0.164603,0.169224,0.178752,
6.58266,6.18091,5.10502,3.92572,2.3964,1.50352,0.958085,0.599589,0.372779,0.254234,0.24705,0.239827,0.209539,0.18,0.185071,0.18,0.18,
4.68838,4.26608,3.97528,3.02716,1.98635,1.27709,0.813572,0.505655,0.313643,0.217592,0.210913,0.215672,0.209407,0.195836,0.183048,0.169224,0.170263,
2.96881,2.67935,2.50469,2.04418,1.49002,1.02088,0.68931,0.450895,0.297945,0.24086,0.217964,0.209451,0.198049,0.176306,0.158392,0.140983,0.143667,
1.96741,1.77767,1.63283,1.38418,1.09873,0.826607,0.610446,0.414996,0.275765,0.232534,0.222438,0.192166,0.180203,0.168445,0.147232,0.131833,0.13247,
1.28821,1.18835,1.10959,0.98963,0.875236,0.747944,0.598204,0.438465,0.314191,0.23444,0.19509,0.16915,0.171438,0.162142,0.139643,0.11613,0.116306,
0.810027,0.78898,0.79264,0.777761,0.74187,0.672973,0.584876,0.471303,0.374586,0.264364,0.173816,0.143592,0.151583,0.147669,0.130606,0.108445,0.113204,
0.535085,0.584454,0.640003,0.66522,0.676082,0.658419,0.59784,0.516154,0.417114,0.297458,0.190605,0.127812,0.124554,0.125147,0.117989,0.128635,0.170185,
0.421882,0.485738,0.588419,0.672136,0.711811,0.726312,0.680583,0.589987,0.467078,0.336531,0.220482,0.157477,0.120203,0.123212,0.137573,0.191961,0.265874,
0.416135,0.510172,0.637937,0.748226,0.787476,0.799919,0.762147,0.662228,0.51327,0.357586,0.23102,0.178339,0.125071,0.130294,0.16793,0.25812,0.418915,
0.4578,0.578915,0.690683,0.785829,0.833707,0.844082,0.774056,0.692302,0.528439,0.355768,0.237232,0.18814,0.137852,0.160188,0.264957,0.419182,0.638352,
0.523292,0.614886,0.692121,0.773342,0.815136,0.808979,0.763892,0.664746,0.518523,0.36825,0.295747,0.245895,0.218863,0.29458,0.4111,0.593441,0.877119,
0.517323,0.595916,0.654472,0.698022,0.744896,0.72358,0.670373,0.594391,0.501223,0.412311,0.35632,0.312236,0.341347,0.447897,0.579503,0.798148,1.14918,
0.469305,0.495652,0.549903,0.600215,0.634575,0.603546,0.569411,0.510275,0.478256,0.432591,0.415777,0.441942,0.53408,0.651107,0.801134,1.06179,1.46213,
0.377616,0.383035,0.404063,0.437616,0.463472,0.459541,0.435216,0.42342,0.423973,0.446896,0.509475,0.624982,0.793958,0.949185,1.16272,1.47561,1.89307,
